name,episode,length,total_reward,reason,terminated
random,132,77,-107.017,crash,True
random,133,116,-140.314,crash,True
random,134,105,-180.47,crash,True
random,135,103,-332.003,crash,True
random,136,73,-215.424,crash,True
random,137,94,-352.775,crash,True
random,138,78,-102.214,crash,True
random,139,59,-165.316,crash,True
random,140,74,-184.978,crash,True
random,141,89,-191.184,crash,True
random,142,94,-461.844,out_of_view,True
random,143,82,-133.212,crash,True
random,144,125,-139.339,crash,True
random,145,105,-261.552,crash,True
random,146,94,-94.716,crash,True
random,147,63,-110.38,crash,True
random,148,111,-187.826,crash,True
random,149,102,-118.515,crash,True
random,150,72,-30.136,crash,True
random,151,86,-258.756,crash,True
random,152,95,-146.505,crash,True
random,153,101,-148.64,crash,True
random,154,123,-220.432,crash,True
random,155,77,-288.345,crash,True
random,156,97,-187.969,out_of_view,True
random,157,88,-138.461,crash,True
random,158,119,-87.017,crash,True
random,159,78,-117.709,crash,True
random,160,75,-157.697,crash,True
random,161,85,-130.928,crash,True
random,162,78,-270.043,crash,True
random,163,84,-72.619,crash,True
random,164,80,-106.86,crash,True
random,165,70,-40.588,crash,True
random,166,82,-87.949,crash,True
random,167,109,-242.684,out_of_view,True
random,168,62,-89.481,crash,True
random,169,92,-465.202,crash,True
random,170,119,-443.086,out_of_view,True
random,171,86,-67.31,crash,True
random,172,109,-118.728,crash,True
random,173,117,-94.247,crash,True
random,174,107,-438.223,crash,True
random,175,122,-182.952,out_of_view,True
random,176,63,-100.076,crash,True
random,177,65,-86.12,crash,True
random,178,90,-115.005,crash,True
random,179,81,-418.515,out_of_view,True
random,180,120,-189.172,crash,True
random,181,85,-348.584,crash,True
random,182,116,-91.119,crash,True
random,183,170,-384.996,crash,True
random,184,68,-91.019,crash,True
random,185,122,-108.29,crash,True
random,186,108,-85.803,crash,True
random,187,108,-167.65,crash,True
random,188,80,-102.382,crash,True
random,189,101,-240.418,crash,True
random,190,103,-110.694,crash,True
random,191,125,-130.784,crash,True
random,192,112,-190.034,out_of_view,True
random,193,64,-291.927,crash,True
random,194,84,-60.697,crash,True
random,195,118,-297.222,crash,True
random,196,65,-99.204,crash,True
random,197,114,-79.124,crash,True
random,198,73,-256.311,crash,True
random,199,86,-286.127,crash,True
random,0,71,-99.738,crash,True
random,1,95,-222.038,out_of_view,True
random,2,108,-146.994,crash,True
random,3,72,-66.954,crash,True
random,4,75,-115.927,crash,True
random,5,99,-360.382,crash,True
random,6,108,-164.679,crash,True
random,7,126,-113.249,crash,True
random,8,127,-318.076,crash,True
random,9,156,-382.832,crash,True
random,10,118,-174.229,out_of_view,True
random,11,107,-262.19,crash,True
random,12,80,-306.696,crash,True
random,13,73,-95.116,crash,True
random,14,70,-133.262,crash,True
random,15,92,-139.768,crash,True
random,16,53,-88.518,crash,True
random,17,119,-5.979,crash,True
random,18,84,-345.267,crash,True
random,19,111,-140.991,crash,True
random,20,64,-181.385,crash,True
random,21,102,-286.343,crash,True
random,22,75,-102.181,crash,True
random,23,68,-195.881,crash,True
random,24,127,-251.753,crash,True
random,25,85,-374.517,crash,True
random,26,72,-80.998,crash,True
random,27,112,-495.028,out_of_view,True
random,28,119,-136.687,crash,True
random,29,72,-154.81,crash,True
random,30,102,-349.353,crash,True
random,31,78,-128.531,crash,True
random,32,66,-90.732,crash,True
random,33,82,-117.836,crash,True
random,34,118,-119.31,crash,True
random,35,75,-96.211,crash,True
random,36,98,-320.739,out_of_view,True
random,37,89,-95.42,crash,True
random,38,69,-82.828,crash,True
random,39,128,-428.787,crash,True
random,40,80,-79.383,crash,True
random,41,97,-265.105,crash,True
random,42,66,-101.67,crash,True
random,43,93,-352.348,crash,True
random,44,62,-119.948,crash,True
random,45,121,-96.152,crash,True
random,46,86,-182.84,crash,True
random,47,76,-102.046,crash,True
random,48,66,-94.552,crash,True
random,49,97,-349.136,out_of_view,True
random,50,78,-126.373,crash,True
random,51,85,-121.459,crash,True
random,52,131,-63.701,crash,True
random,53,90,-331.489,crash,True
random,54,94,27.365,crash,True
random,55,98,-282.825,crash,True
random,56,69,-95.717,crash,True
random,57,93,-139.616,crash,True
random,58,121,-146.338,crash,True
random,59,123,-335.606,crash,True
random,60,93,-181.816,crash,True
random,61,93,-318.248,crash,True
random,62,62,-93.598,crash,True
random,63,96,-111.422,crash,True
random,64,93,-140.367,crash,True
random,65,109,-131.212,crash,True
random,66,121,-98.977,crash,True
random,67,80,-384.332,crash,True
random,68,79,-194.689,crash,True
random,69,78,-109.232,crash,True
random,70,109,-122.132,crash,True
random,71,63,-86.393,crash,True
random,72,71,-109.88,crash,True
random,73,132,-188.341,crash,True
random,74,56,-80.63,crash,True
random,75,86,-511.844,crash,True
random,76,78,-189.821,crash,True
random,77,106,-304.647,out_of_view,True
random,78,95,-120.614,crash,True
random,79,92,-464.762,crash,True
random,80,74,-93.28,crash,True
random,81,91,-412.76,crash,True
random,82,110,-147.622,crash,True
random,83,106,-516.452,crash,True
random,84,94,-142.028,crash,True
random,85,136,-84.806,crash,True
random,86,78,-96.725,crash,True
random,87,98,-275.966,crash,True
random,88,79,-311.177,crash,True
random,89,107,-367.231,crash,True
random,90,87,-246.821,crash,True
random,91,86,-369.757,crash,True
random,92,98,-111.949,crash,True
random,93,63,-93.578,crash,True
random,94,85,-130.268,crash,True
random,95,124,-104.085,crash,True
random,96,112,-468.443,out_of_view,True
random,97,80,-70.005,crash,True
random,98,71,-130.176,crash,True
random,99,58,-277.602,crash,True
random,100,65,-107.505,crash,True
random,101,70,-126.848,crash,True
random,102,95,-375.334,out_of_view,True
random,103,87,-160.567,crash,True
random,104,108,-183.33,out_of_view,True
random,105,74,-224.56,crash,True
random,106,72,-89.909,crash,True
random,107,71,-44.499,crash,True
random,108,90,-377.682,out_of_view,True
random,109,96,-291.288,out_of_view,True
random,110,85,-234.647,crash,True
random,111,89,-102.954,crash,True
random,112,81,-184.767,crash,True
random,113,92,-171.802,crash,True
random,114,70,-103.336,crash,True
random,115,67,-165.865,crash,True
random,116,76,-212.481,crash,True
random,117,108,-213.279,crash,True
random,118,88,-167.92,crash,True
random,119,99,-90.628,crash,True
random,120,95,-309.154,crash,True
random,121,95,-345.216,crash,True
random,122,70,-168.551,crash,True
random,123,73,-26.282,crash,True
random,124,149,-6.814,crash,True
random,125,105,-219.221,crash,True
random,126,74,-170.184,crash,True
random,127,103,-385.646,out_of_view,True
random,128,105,-331.336,out_of_view,True
random,129,108,-124.159,crash,True
random,130,80,-121.589,crash,True
random,131,126,-235.196,out_of_view,True
random,132,76,-377.841,out_of_view,True
random,133,109,-236.93,out_of_view,True
random,134,91,-117.758,crash,True
random,135,116,-248.13,crash,True
random,136,73,-173.74,crash,True
random,137,88,-157.506,crash,True
random,138,93,-105.342,crash,True
random,139,62,-194.409,crash,True
random,140,72,-384.306,crash,True
random,141,92,-326.736,crash,True
random,142,86,-336.108,crash,True
random,143,84,-120.98,crash,True
random,144,98,-421.605,crash,True
random,145,97,-409.223,out_of_view,True
random,146,97,-257.563,crash,True
random,147,72,-84.119,crash,True
random,148,103,-376.009,out_of_view,True
random,149,119,-246.005,crash,True
random,150,72,-102.034,crash,True
random,151,80,-85.445,crash,True
random,152,81,-341.632,crash,True
random,153,94,-285.733,crash,True
random,154,113,-314.682,out_of_view,True
random,155,77,-282.007,crash,True
random,156,100,-274.204,out_of_view,True
random,157,102,-302.323,crash,True
random,158,92,-146.39,crash,True
random,159,66,-53.078,crash,True
random,160,73,-148.769,crash,True
random,161,106,-78.891,crash,True
random,162,83,-271.48,crash,True
random,163,91,-84.98,crash,True
random,164,78,-117.449,crash,True
random,165,56,-81.158,crash,True
random,166,84,-91.088,crash,True
random,167,100,-255.935,out_of_view,True
random,168,69,-145.911,crash,True
random,169,81,-141.583,crash,True
random,170,128,-225.361,out_of_view,True
random,171,80,-106.742,crash,True
random,172,105,-99.18,crash,True
random,173,128,-75.518,crash,True
random,174,103,-226.538,crash,True
random,175,104,-167.241,crash,True
random,176,70,-158.496,crash,True
random,177,63,-189.979,crash,True
random,178,93,-101.604,crash,True
random,179,114,-336.35,out_of_view,True
random,180,130,-196.544,crash,True
random,181,83,-269.719,crash,True
random,182,107,-96.566,crash,True
random,183,127,-509.032,crash,True
random,184,71,-64.475,crash,True
random,185,100,-113.977,crash,True
random,186,88,-124.372,crash,True
random,187,92,-147.152,crash,True
random,188,95,-119.607,crash,True
random,189,68,-101.85,crash,True
random,190,93,-162.256,crash,True
random,191,121,-171.359,crash,True
random,192,87,-368.308,out_of_view,True
random,193,60,-93.892,crash,True
random,194,74,-108.474,crash,True
random,195,119,-55.128,crash,True
random,196,68,-109.007,crash,True
random,197,102,-181.997,crash,True
random,198,58,-77.867,crash,True
random,199,116,-136.784,crash,True
random,0,72,-183.624,crash,True
random,1,95,-343.759,out_of_view,True
random,2,114,-136.426,crash,True
random,3,67,-283.303,crash,True
random,4,84,-181.154,crash,True
random,5,94,-299.697,crash,True
random,6,96,-141.941,crash,True
random,7,125,-82.97,crash,True
random,8,106,-164.726,crash,True
random,9,99,-386.258,out_of_view,True
random,10,126,-151.13,crash,True
random,11,112,-270.123,crash,True
random,12,69,-83.326,crash,True
random,13,72,-121.062,crash,True
random,14,76,-139.961,crash,True
random,15,95,-346.594,out_of_view,True
random,16,82,-231.709,crash,True
random,17,119,-225.814,crash,True
random,18,106,-177.256,out_of_view,True
random,19,121,-187.411,crash,True
random,0,73,9.136,crash,True
random,1,96,-341.053,out_of_view,True
random,2,135,-90.166,crash,True
random,3,84,-214.062,crash,True
random,4,79,-130.537,crash,True
random,5,80,-215.262,crash,True
random,6,101,-113.758,crash,True
random,7,139,-119.887,crash,True
random,8,106,-130.126,crash,True
random,9,92,-396.818,out_of_view,True
random,10,102,-304.406,out_of_view,True
random,11,114,-366.393,crash,True
random,12,60,-134.265,crash,True
random,13,66,-137.298,crash,True
random,14,78,-128.708,crash,True
random,15,88,-272.006,crash,True
random,16,58,-152.488,crash,True
random,17,109,-421.089,crash,True
random,18,99,-180.651,crash,True
random,19,123,-301.139,crash,True
random,20,64,-96.778,crash,True
random,21,93,-258.683,out_of_view,True
random,22,78,-281.455,crash,True
random,23,80,-67.455,crash,True
random,24,126,-92.732,crash,True
random,25,83,-455.052,crash,True
random,26,66,-75.124,crash,True
random,27,69,-98.586,crash,True
random,28,147,-471.778,crash,True
random,29,65,-77.628,crash,True
random,30,93,-149.9,crash,True
random,31,91,-32.096,crash,True
