episode,global_step,mean_100,total_reward,steps
520,184624,123.04,283.87,171
521,184818,123.31,264.53,194
522,185067,123.64,299.67,249
523,185275,123.86,236.84,208
524,185503,124.17,283.57,228
525,185712,124.48,291.65,209
526,185923,124.82,301.59,211
527,186123,125.1,274.06,200
528,186338,125.39,277.11,215
529,186532,125.67,273.09,194
530,186838,125.91,252.56,306
531,187058,126.21,285.44,220
532,187278,126.41,234.59,220
533,187536,126.71,288.46,258
534,187709,127.0,278.37,173
535,187882,127.21,241.83,173
536,188073,127.46,262.53,191
537,188232,127.71,258.01,159
538,188519,127.99,281.86,287
539,188712,128.33,308.56,193
540,188911,128.67,315.24,199
541,189118,129.02,319.95,207
542,189338,129.26,254.71,220
543,189568,129.57,297.45,230
544,189764,129.8,254.99,196
545,189925,130.07,278.24,161
546,190129,130.38,301.09,204
547,190347,130.64,273.66,218
548,190543,130.88,259.49,196
549,190708,131.14,273.99,165
550,190934,131.42,285.56,226
551,191113,131.67,270.7,179
552,191300,131.95,288.74,187
553,191520,132.24,288.53,220
554,191742,132.42,234.97,222
555,192097,132.69,280.84,355
556,192355,132.96,283.58,258
557,192578,133.25,296.68,223
558,192768,133.53,289.61,190
559,193054,133.85,309.28,286
560,193215,134.1,278.07,161
561,193488,134.41,303.98,273
562,193699,134.68,288.5,211
563,193909,134.91,264.91,210
564,194121,135.18,288.63,212
565,194352,135.41,262.75,231
566,194856,135.65,272.72,504
567,195044,135.96,311.37,188
568,195265,136.28,316.37,221
569,195513,136.53,281.06,248
570,195732,136.79,283.83,219
571,195939,137.07,296.54,207
572,196142,137.33,286.93,203
573,196357,137.62,303.64,215
574,196549,137.89,296.28,192
575,196756,138.08,242.53,207
576,196912,138.32,280.51,156
577,197142,138.62,310.67,230
578,197314,138.87,280.92,172
579,197499,139.11,279.8,185
580,197672,139.3,250.87,173
581,197849,139.59,308.63,177
582,198067,139.8,259.44,218
583,198259,139.99,253.15,192
584,199055,139.94,107.66,796
585,199285,140.18,284.07,230
586,199586,140.44,288.36,301
587,199788,140.64,257.89,202
588,200046,140.88,285.52,258
589,200274,141.15,301.48,228
590,200431,141.35,259.4,157
591,200607,141.62,300.47,176
592,200774,141.89,301.22,167
593,200874,141.37,-168.85,100
